Test data #1: Predicted Class: p, Confidence: 100%, Correct.
Test data #2: Predicted Class: p, Confidence: 100%, Correct.
Test data #3: Predicted Class: p, Confidence: 100%, Correct.
Test data #4: Predicted Class: p, Confidence: 100%, Correct.
Test data #5: Predicted Class: p, Confidence: 100%, Correct.
Test data #6: Predicted Class: p, Confidence: 100%, Correct.
Test data #7: Predicted Class: p, Confidence: 100%, Correct.
Test data #8: Predicted Class: p, Confidence: 100%, Correct.
Test data #9: Predicted Class: p, Confidence: 100%, Correct.
Test data #10: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #11: Predicted Class: p, Confidence: 100%, Correct.
Test data #12: Predicted Class: p, Confidence: 100%, Correct.
Test data #13: Predicted Class: p, Confidence: 100%, Correct.
Test data #14: Predicted Class: p, Confidence: 100%, Correct.
Test data #15: Predicted Class: p, Confidence: 100%, Correct.
Test data #16: Predicted Class: p, Confidence: 100%, Correct.
Test data #17: Predicted Class: p, Confidence: 100%, Correct.
Test data #18: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #19: Predicted Class: p, Confidence: 100%, Correct.
Test data #20: Predicted Class: p, Confidence: 100%, Correct.
Test data #21: Predicted Class: p, Confidence: 100%, Correct.
Test data #22: Predicted Class: p, Confidence: 100%, Correct.
Test data #23: Predicted Class: p, Confidence: 100%, Correct.
Test data #24: Predicted Class: p, Confidence: 100%, Correct.
Test data #25: Predicted Class: p, Confidence: 100%, Correct.
Test data #26: Predicted Class: p, Confidence: 100%, Correct.
Test data #27: Predicted Class: p, Confidence: 100%, Correct.
Test data #28: Predicted Class: p, Confidence: 100%, Correct.
Test data #29: Predicted Class: p, Confidence: 100%, Correct.
Test data #30: Predicted Class: p, Confidence: 100%, Correct.
Test data #31: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #32: Predicted Class: p, Confidence: 100%, Correct.
Test data #33: Predicted Class: p, Confidence: 100%, Correct.
Test data #34: Predicted Class: p, Confidence: 100%, Correct.
Test data #35: Predicted Class: p, Confidence: 100%, Correct.
Test data #36: Predicted Class: p, Confidence: 100%, Correct.
Test data #37: Predicted Class: p, Confidence: 100%, Correct.
Test data #38: Predicted Class: p, Confidence: 100%, Correct.
Test data #39: Predicted Class: p, Confidence: 100%, Correct.
Test data #40: Predicted Class: p, Confidence: 100%, Correct.
Test data #41: Predicted Class: p, Confidence: 100%, Correct.
Test data #42: Predicted Class: p, Confidence: 100%, Correct.
Test data #43: Predicted Class: p, Confidence: 100%, Correct.
Test data #44: Predicted Class: p, Confidence: 100%, Correct.
Test data #45: Predicted Class: p, Confidence: 100%, Correct.
Test data #46: Predicted Class: p, Confidence: 100%, Correct.
Test data #47: Predicted Class: p, Confidence: 100%, Correct.
Test data #48: Predicted Class: p, Confidence: 100%, Correct.
Test data #49: Predicted Class: p, Confidence: 100%, Correct.
Test data #50: Predicted Class: p, Confidence: 100%, Correct.
Test data #51: Predicted Class: p, Confidence: 100%, Correct.
Test data #52: Predicted Class: p, Confidence: 100%, Correct.
Test data #53: Predicted Class: p, Confidence: 100%, Correct.
Test data #54: Predicted Class: p, Confidence: 100%, Correct.
Test data #55: Predicted Class: p, Confidence: 100%, Correct.
Test data #56: Predicted Class: p, Confidence: 100%, Correct.
Test data #57: Predicted Class: p, Confidence: 100%, Correct.
Test data #58: Predicted Class: p, Confidence: 100%, Correct.
Test data #59: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #60: Predicted Class: p, Confidence: 100%, Correct.
Test data #61: Predicted Class: p, Confidence: 100%, Correct.
Test data #62: Predicted Class: p, Confidence: 100%, Correct.
Test data #63: Predicted Class: p, Confidence: 100%, Correct.
Test data #64: Predicted Class: p, Confidence: 100%, Correct.
Test data #65: Predicted Class: p, Confidence: 100%, Correct.
Test data #66: Predicted Class: p, Confidence: 100%, Correct.
Test data #67: Predicted Class: p, Confidence: 100%, Correct.
Test data #68: Predicted Class: p, Confidence: 100%, Correct.
Test data #69: Predicted Class: p, Confidence: 100%, Correct.
Test data #70: Predicted Class: p, Confidence: 100%, Correct.
Test data #71: Predicted Class: p, Confidence: 100%, Correct.
Test data #72: Predicted Class: p, Confidence: 100%, Correct.
Test data #73: Predicted Class: p, Confidence: 100%, Correct.
Test data #74: Predicted Class: p, Confidence: 100%, Correct.
Test data #75: Predicted Class: p, Confidence: 100%, Correct.
Test data #76: Predicted Class: p, Confidence: 100%, Correct.
Test data #77: Predicted Class: p, Confidence: 100%, Correct.
Test data #78: Predicted Class: p, Confidence: 100%, Correct.
Test data #79: Predicted Class: p, Confidence: 100%, Correct.
Test data #80: Predicted Class: p, Confidence: 100%, Correct.
Test data #81: Predicted Class: p, Confidence: 100%, Correct.
Test data #82: Predicted Class: p, Confidence: 100%, Correct.
Test data #83: Predicted Class: p, Confidence: 100%, Correct.
Test data #84: Predicted Class: p, Confidence: 100%, Correct.
Test data #85: Predicted Class: p, Confidence: 100%, Correct.
Test data #86: Predicted Class: p, Confidence: 100%, Correct.
Test data #87: Predicted Class: p, Confidence: 100%, Correct.
Test data #88: Predicted Class: p, Confidence: 100%, Correct.
Test data #89: Predicted Class: p, Confidence: 100%, Correct.
Test data #90: Predicted Class: p, Confidence: 100%, Correct.
Test data #91: Predicted Class: p, Confidence: 100%, Correct.
Test data #92: Predicted Class: p, Confidence: 100%, Correct.
Test data #93: Predicted Class: p, Confidence: 100%, Correct.
Test data #94: Predicted Class: p, Confidence: 100%, Correct.
Test data #95: Predicted Class: p, Confidence: 100%, Correct.
Test data #96: Predicted Class: p, Confidence: 100%, Correct.
Test data #97: Predicted Class: p, Confidence: 100%, Correct.
Test data #98: Predicted Class: p, Confidence: 100%, Correct.
Test data #99: Predicted Class: p, Confidence: 100%, Correct.
Test data #100: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #101: Predicted Class: p, Confidence: 100%, Correct.
Test data #102: Predicted Class: p, Confidence: 100%, Correct.
Test data #103: Predicted Class: p, Confidence: 100%, Correct.
Test data #104: Predicted Class: p, Confidence: 100%, Correct.
Test data #105: Predicted Class: p, Confidence: 100%, Correct.
Test data #106: Predicted Class: p, Confidence: 100%, Correct.
Test data #107: Predicted Class: p, Confidence: 100%, Correct.
Test data #108: Predicted Class: p, Confidence: 100%, Correct.
Test data #109: Predicted Class: p, Confidence: 100%, Correct.
Test data #110: Predicted Class: p, Confidence: 100%, Correct.
Test data #111: Predicted Class: p, Confidence: 100%, Correct.
Test data #112: Predicted Class: p, Confidence: 100%, Correct.
Test data #113: Predicted Class: p, Confidence: 100%, Correct.
Test data #114: Predicted Class: p, Confidence: 100%, Correct.
Test data #115: Predicted Class: p, Confidence: 100%, Correct.
Test data #116: Predicted Class: p, Confidence: 100%, Correct.
Test data #117: Predicted Class: p, Confidence: 100%, Correct.
